A: 0x00f9, D: 0x50, D: 80, D: P
A: 0x00fa, D: 0xff, D: 255, D: ?
A: 0x00fb, D: 0x20, D: 32, D:  
A: 0x00fc, D: 0xff, D: 255, D: ?
A: 0x00fd, D: 0xb0, D: 176, D: ?
A: 0x00fe, D: 0xff, D: 255, D: ?
A: 0x00ff, D: 0x60, D: 96, D: `
A: 0x0100, D: 0xff, D: 255, D: ?
A: 0x0101, D: 0x00, D: 0, D: ?
A: 0x0102, D: 0xff, D: 255, D: ?
A: 0x0103, D: 0x00, D: 0, D: ?
A: 0x0104, D: 0xff, D: 255, D: ?
A: 0x0105, D: 0x00, D: 0, D: ?
A: 0x0106, D: 0xff, D: 255, D: ?
A: 0x0107, D: 0x00, D: 0, D: ?
A: 0x0108, D: 0xff, D: 255, D: ?
A: 0x0109, D: 0x00, D: 0, D: ?
A: 0x010a, D: 0xff, D: 255, D: ?
A: 0x010b, D: 0x00, D: 0, D: ?
A: 0x010c, D: 0xff, D: 255, D: ?
A: 0x010d, D: 0x00, D: 0, D: ?
A: 0x010e, D: 0xff, D: 255, D: ?
A: 0x010f, D: 0x00, D: 0, D: ?
A: 0x0110, D: 0xff, D: 255, D: ?
A: 0x0111, D: 0x00, D: 0, D: ?
A: 0x0112, D: 0xff, D: 255, D: ?
A: 0x0113, D: 0x00, D: 0, D: ?
A: 0x0114, D: 0xff, D: 255, D: ?
A: 0x0115, D: 0x00, D: 0, D: ?
A: 0x0116, D: 0xff, D: 255, D: ?
A: 0x0117, D: 0x00, D: 0, D: ?
A: 0x0118, D: 0xff, D: 255, D: ?
A: 0x0119, D: 0x00, D: 0, D: ?
A: 0x011a, D: 0xff, D: 255, D: ?
A: 0x011b, D: 0x00, D: 0, D: ?
A: 0x011c, D: 0xff, D: 255, D: ?
A: 0x011d, D: 0x00, D: 0, D: ?
A: 0x011e, D: 0xff, D: 255, D: ?
A: 0x011f, D: 0x00, D: 0, D: ?
A: 0x0120, D: 0xff, D: 255, D: ?
A: 0x0121, D: 0x00, D: 0, D: ?
A: 0x0122, D: 0xff, D: 255, D: ?
A: 0x0123, D: 0x00, D: 0, D: ?
A: 0x0124, D: 0xff, D: 255, D: ?
A: 0x0125, D: 0x00, D: 0, D: ?
A: 0x0126, D: 0xff, D: 255, D: ?
A: 0x0127, D: 0x00, D: 0, D: ?
A: 0x0128, D: 0xff, D: 255, D: ?
A: 0x0129, D: 0x00, D: 0, D: ?
A: 0x012a, D: 0xff, D: 255, D: ?
A: 0x012b, D: 0x00, D: 0, D: ?
A: 0x012c, D: 0xff, D: 255, D: ?
A: 0x012d, D: 0x00, D: 0, D: ?
A: 0x012e, D: 0xff, D: 255, D: ?
A: 0x012f, D: 0x00, D: 0, D: ?
A: 0x0130, D: 0xff, D: 255, D: ?
A: 0x0131, D: 0x00, D: 0, D: ?
A: 0x0132, D: 0xff, D: 255, D: ?
A: 0x0133, D: 0x00, D: 0, D: ?
A: 0x0134, D: 0xff, D: 255, D: ?
A: 0x0135, D: 0x00, D: 0, D: ?
A: 0x0136, D: 0xff, D: 255, D: ?
A: 0x0137, D: 0x00, D: 0, D: ?
A: 0x0138, D: 0xff, D: 255, D: ?
A: 0x0139, D: 0x00, D: 0, D: ?
A: 0x013a, D: 0xff, D: 255, D: ?
A: 0x013b, D: 0x00, D: 0, D: ?
A: 0x013c, D: 0xff, D: 255, D: ?
A: 0x013d, D: 0x00, D: 0, D: ?
A: 0x013e, D: 0xff, D: 255, D: ?
A: 0x013f, D: 0x00, D: 0, D: ?
A: 0x0140, D: 0xff, D: 255, D: ?
A: 0x0141, D: 0x00, D: 0, D: ?
A: 0x0142, D: 0xff, D: 255, D: ?
A: 0x0143, D: 0x00, D: 0, D: ?
A: 0x0144, D: 0xff, D: 255, D: ?
A: 0x0145, D: 0x00, D: 0, D: ?
A: 0x0146, D: 0xff, D: 255, D: ?
A: 0x0147, D: 0x00, D: 0, D: ?
A: 0x0148, D: 0xff, D: 255, D: ?
A: 0x0149, D: 0x00, D: 0, D: ?
A: 0x014a, D: 0xff, D: 255, D: ?
A: 0x014b, D: 0x00, D: 0, D: ?
A: 0x014c, D: 0xff, D: 255, D: ?
A: 0x014d, D: 0x00, D: 0, D: ?
A: 0x014e, D: 0xff, D: 255, D: ?
A: 0x014f, D: 0x00, D: 0, D: ?
A: 0x0150, D: 0xff, D: 255, D: ?
A: 0x0151, D: 0x00, D: 0, D: ?
A: 0x0152, D: 0xff, D: 255, D: ?
A: 0x0153, D: 0x00, D: 0, D: ?
A: 0x0154, D: 0xff, D: 255, D: ?
A: 0x0155, D: 0x00, D: 0, D: ?
A: 0x0156, D: 0xff, D: 255, D: ?
A: 0x0157, D: 0x00, D: 0, D: ?
A: 0x0158, D: 0xff, D: 255, D: ?
